cod_fact;typ_fac;prx_fac;dat_ems
1;Vente;500.00;01/15/2023
2;Service;300.50;02/28/2023
3;Achat;1200.75;03/10/2023
4;Frais;75.20;04/05/2023
5;Location;800.00;05/20/2023
6;Vente;450.25;06/08/2023
7;Service;200.00;07/15/2023
8;Achat;950.50;08/01/2023
9;Frais;50.75;09/18/2023
10;Location;700.00;10/30/2023
11;Vente;600.00;11/12/2023
12;Service;350.25;12/25/2023
13;Achat;1100.75;01/05/2023
14;Frais;80.20;02/15/2023
15;Location;750.00;03/28/2023
16;Vente;400.25;04/08/2023
17;Service;250.00;05/22/2023
18;Achat;900.50;06/10/2023
19;Frais;45.75;07/17/2023
20;Location;850.00;08/02/2023
